GeneMark.hmm PROKARYOTIC (Version 3.26)
Date: Thu Mar 26 22:57:03 2020
Sequence file name: seq.fna
Model file name: GeneMark_hmm_combined.mod
RBS: true
Model information: GeneMarkS_gcode_11

FASTA definition line: NODE_1_length_104244_cov_13.5403
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
  140        +       31972       32178          207        1
  141        +       32192       32434          243        1
  142        +       32508       32876          369        1
  143        +       32876       33181          306        1
  144        +       33181       33741          561        1
  145        +       33761       34066          306        1
  146        +       34079       34477          399        1
  147        +       34488       35021          534        1
  148        +       35033       35392          360        1
  149        +       35404       35967          564        1
  150        +       35980       36168          189        1
  151        +       36325       36810          486        1
  152        +       36932       38269         1338        1
  153        +       38226       38933          708        1
  154        +       39108       39476          369        1
  155        +       39490       39879          390        1
  156        +       39995       41011         1017        1
  157        +       41113       41532          420        1
  158        +       41791       42402          612        1
  159        +       42458       43843         1386        1
  160        +       43882       45195         1314        1
  161        +       45248       45601          354        1
  162        +       45589       46638         1050        1
  163        +       46638       47345          708        1
  164        +       47572       48588         1017        1
  165        +       48737       49999         1263        1
  166        +       50001       51329         1329        1
  167        +       51342       52130          789        1
  168        +       52340       52708          369        1
  169        +       53017       54222         1206        1
  170        +       54347       56650         2304        1
  171        +       57074       57838          765        1
  172        -       57884       58225          342        1
  173        +       58390       59223          834        1
  174        +       59220       60062          843        1
  175        -       60161       61432         1272        1
  176        +       61564       61833          270        1
  177        +       61841       62497          657        1
  178        -       62608       65025         2418        1
  179        +       65151       65372          222        1
  180        -       65415       66122          708        1
  181        -       66165       67247         1083        1
  182        -       67452       67814          363        1
  183        -       67827       68033          207        1
  184        -       68143       69588         1446        1
  185        +       69714       70466          753        1
  186        -       70810       71670          861        1
  187        -       71673       72635          963        1
  188        -       72746       73747         1002        1
  189        +       73798       73986          189        1
  190        +       74015       74971          957        1
  191        -       75062       75532          471        1
  192        +       75747       76706          960        1
  193        +       76703       77017          315        1
  194        +       77156       78334         1179        1
  195        -       78359       79318          960        1
  196        -       79329       79799          471        1
  197        +       80072       81727         1656        1
  198        -       81955       82149          195        2
  199        +       82251       83528         1278        1
  200        +       83521       84357          837        1
  201        +       84370       84984          615        1
  202        -       84992       86413         1422        1
  203        -       86442       86897          456        1
  204        +       87044       88138         1095        1
  205        -       88166       88540          375        1
  206        -       88650       88742           93        2
  207        -       88913       89917         1005        1
  208        +       90094       92601         2508        1
  209        +       92598       93584          987        1
  210        +       93581       95326         1746        1
  211        -       95430       95756          327        1
  212        -       95756       96181          426        1
  213        +       96313       98487         2175        1
  214        -       98611       99132          522        1
  215        +       99316       99960          645        1
  216        -      100073     >101053          981        1

FASTA definition line: NODE_3_length_100275_cov_16.304
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  217        +          54        1991         1938        1
  218        +        1988        2695          708        1
  219        -        2706        4025         1320        1
  220        +        4249        4869          621        1
  221        +        5113        6198         1086        1
  222        +        6150        7133          984        1
  223        +        7139        7996          858        1
  224        -        7999        8994          996        1
  225        +        9055        9603          549        1
  226        +        9677       10852         1176        1
  227        +       10856       12433         1578        1
  228        +       12765       13265          501        1
  229        -       13343       13705          363        2
  230        -       14178       16493         2316        1
  231        -       16660       17427          768        1
  232        -       17486       18442          957        1
  233        +       18520       19140          621        1
  234        +       19141       20679         1539        1
  235        +       20702       21571          870        1
  236        +       21589       23016         1428        1
  237        +       23026       23424          399        1
  238        -       23850       24869         1020        1
  239        -       25001       26026         1026        1
  240        -       26026       26487          462        1
  241        -       26527       27447          921        1
  242        -       27475       27918          444        1
  243        -       28144       29037          894        1
  244        -       29188       30105          918        1
  245        +       30107       30229          123        1
  246        +       30226       30477          252        1
  247        -       30494       31516         1023        1
  248        +       31666       31953          288        1
  249        +       32049       33692         1644        1
  250        -       33961       34638          678        1
  251        +       34718       35656          939        1
  252        +       35984       36802          819        1
  253        +       36893       37198          306        1
  254        -       37380       38621         1242        1
  255        -       38668       39813         1146        1
  256        -       39810       41198         1389        1
  257        -       41211       42590         1380        1
  258        -       42666       43703         1038        1
  259        -       43760       45085         1326        1
  260        -       45085       45591          507        1
  261        -       45596       46375          780        1
  262        +       46562       47401          840        1
  263        -       47571       48710         1140        1
  264        -       48718       50664         1947        1
  265        -       50661       51206          546        1
  266        -       51193       52095          903        1
  267        -       52129       53166         1038        1
  268        +       53515       54471          957        1
  269        -       54658       56247         1590        1
  270        +       56586       57170          585        1
  271        -       57668       59356         1689        1
  272        +       59355       61019         1665        1
  273        -       61125       62051          927        1
  274        +       62162       62809          648        1
  275        -       62834       63073          240        1
  276        +       63262       63936          675        1
  277        +       64011       64262          252        1
  278        +       64381       64710          330        1
  279        -       64698       65336          639        1
  280        -       65340       66707         1368        1
  281        -       66811       67989         1179        1
  282        -       68018       68521          504        1
  283        -       68531       69145          615        1
  284        -       69147       69971          825        1
  285        +       70114       70716          603        1
  286        +       70833       71375          543        1
  287        +       71390       71851          462        1
  288        -       72501       73295          795        1
  289        -       73422       73583          162        1
  290        -       73713       74345          633        1
  291        -       74420       74884          465        1
  292        -       75601       77616         2016        1
  293        -       77623       79233         1611        1
  294        -       79233       79628          396        1
  295        -       79625       79939          315        1
  296        -       79942       80358          417        1
  297        -       80351       80773          423        1
  298        -       80757       81068          312        1
  299        -       82720       83070          351        1
  300        -       83073       83669          597        1
  301        -       83669       85228         1560        1
  302        -       85201       85521          321        1
  303        -       85518       86711         1194        1
  304        -       86786       88582         1797        1
  305        +       88899       89735          837        1
  306        +       89929       90693          765        1
  307        +       90698       91354          657        1
  308        +       91420       92382          963        1
  309        +       92566       94074         1509        1
  310        +       94075       95085         1011        1
  311        +       95089       96066          978        1
  312        +       96082       97032          951        1
  313        +       97043       97789          747        1
  314        +       98043       99461         1419        1
  315        +       99458     >100273          816        1

FASTA definition line: NODE_4_length_95749_cov_15.1534
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  316        -          <1         582          582        2
  317        +         646        1662         1017        1
  318        -        1718        3586         1869        1
  319        -        3761        6580         2820        1
  320        +        6801        7493          693        1
  321        -        7539        8831         1293        1
  322        -        9074        9421          348        1
  323        -        9418        9777          360        1
  324        -        9782       10699          918        1
  325        -       10696       11154          459        1
  326        -       11156       13270         2115        1
  327        -       13224       13592          369        1
  328        -       13583       13867          285        1
  329        -       13864       14331          468        1
  330        -       14586       16985         2400        1
  331        -       17005       18666         1662        1
  332        -       18896       20578         1683        1
  333        -       20667       21035          369        1
  334        -       21032       21361          330        1
  335        +       21547       23646         2100        1
  336        +       23643       26951         3309        1
  337        +       26993       29134         2142        1
  338        +       29131       31197         2067        1
  339        +       31194       32972         1779        1
  340        +       32969       34786         1818        1
  341        +       34783       37398         2616        1
  342        -       37457       38122          666        1
  343        -       38242       39705         1464        1
  344        -       39790       40404          615        1
  345        -       40423       41781         1359        1
  346        -       41914       42339          426        1
  347        -       42340       43086          747        1
  348        -       43083       43865          783        1
  349        -       43862       44911         1050        1
  350        +       45032       45877          846        1
  351        +       46056       46289          234        1
  352        +       46816       48048         1233        1
  353        +       48048       49226         1179        1
  354        +       49336       49740          405        1
  355        +       49688       51031         1344        1
  356        +       51104       52279         1176        1
  357        +       52281       52514          234        2
  358        +       52519       53082          564        1
  359        +       53181       54344         1164        1
  360        +       54439       55038          600        1
  361        +       55038       55373          336        1
  362        +       55370       55768          399        1
  363        +       55806       56219          414        1
  364        +       56219       56737          519        1
  365        +       56730       57380          651        1
  366        +       57390       58022          633        1
  367        +       58022       58906          885        1
  368        +       58897       59343          447        1
  369        +       59343       63233         3891        1
  370        +       63237       63650          414        1
  371        +       63697       64449          753        1
  372        -       64549       65877         1329        1
  373        -       65888       67279         1392        1
  374        -       67293       68282          990        1
  375        -       68505       68807          303        1
  376        -       69086       70015          930        1
  377        -       70117       71310         1194        1
  378        +       71441       71968          528        1
  379        +       71958       72551          594        1
  380        -       72793       74043         1251        1
  381        +       74077       75234         1158        1
  382        -       75272       75694          423        1
  383        +       75917       76093          177        1
  384        -       76164       77441         1278        1
  385        -       77476       78360          885        1
  386        -       78425       78838          414        1
  387        +       79420       83076         3657        1
  388        +       83335       83949          615        1
  389        -       84183       84608          426        1
  390        +       84699       84848          150        2
  391        -       84843       85928         1086        1
  392        +       85991       87193         1203        1
  393        -       87683       87805          123        2
  394        -       87848       88738          891        1
  395        -       89048       90859         1812        1
  396        -       90859       92223         1365        1
  397        +       92324       93013          690        1
  398        -       93045       93497          453        1
  399        +       93629       94786         1158        1
  400        -       94877       95488          612        1
  401        +       95626      >95748          123        1

FASTA definition line: NODE_5_length_92376_cov_13.951
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  402        -          <1         924          924        1
  403        -         921        1121          201        1
  404        -        1154        1705          552        1
  405        +        1788        2003          216        1
  406        -        2036        2380          345        1
  407        +        2753        5380         2628        1
  408        +        5377        5631          255        1
  409        -        5819        6571          753        1
  410        +        6855        7262          408        1
  411        +        8268        9179          912        1
  412        +        9302       10096          795        1
  413        +       10511       11080          570        1
  414        +       11094       11222          129        1
  415        +       11283       13628         2346        1
  416        -       13723       14184          462        1
  417        +       14249       14524          276        1
  418        -       14829       15266          438        1
  419        +       15216       16604         1389        1
  420        +       16689       17822         1134        1
  421        +       17806       18918         1113        1
  422        +       18918       19790          873        1
  423        +       19855       20631          777        1
  424        +       20633       20905          273        1
  425        +       21009       22691         1683        1
  426        +       22948       24561         1614        1
  427        +       24558       25700         1143        1
  428        -       25706       26674          969        1
  429        -       26844       27980         1137        1
  430        +       28055       28381          327        1
  431        +       28431       29237          807        1
  432        +       29380       29778          399        1
  433        -       29775       30950         1176        1
  434        -       31046       31468          423        1
  435        +       31655       32494          840        1
  436        +       32533       32985          453        1
  437        +       32985       34385         1401        1
  438        +       34382       34546          165        1
  439        +       34569       35753         1185        1
  440        +       35816       36502          687        1
  441        -       36553       37095          543        1
  442        -       37092       38282         1191        1
  443        -       38465       38614          150        1
  444        +       38926       40731         1806        1
  445        +       40992       41630          639        1
  446        -       41837       42106          270        1
  447        -       42093       44942         2850        1
  448        +       45084       45554          471        1
  449        +       45993       46403          411        1
  450        +       46713       47165          453        1
  451        +       47272       48114          843        1
  452        +       48295       49521         1227        1
  453        +       49816       51582         1767        1
  454        +       51665       52225          561        1
  455        -       52277       52903          627        1
  456        +       52938       53078          141        1
  457        -       53113       53568          456        1
  458        -       53565       55535         1971        1
  459        +       55834       56949         1116        1
  460        -       57063       57326          264        1
  461        +       57530       60292         2763        1
  462        +       60329       61630         1302        1
  463        +       61615       62448          834        1
  464        -       62642       63001          360        1
  465        +       63067       63507          441        1
  466        -       63658       63780          123        1
  467        -       64032       66119         2088        1
  468        -       66116       68230         2115        1
  469        -       68324       69040          717        1
  470        -       69133       69411          279        1
  471        +       69535       70674         1140        1
  472        -       70681       71541          861        1
  473        +       71540       71944          405        1
  474        -       72037       72480          444        1
  475        +       72813       73349          537        1
  476        +       73527       73733          207        1
  477        +       73759       74871         1113        1
  478        +       74893       75849          957        1
  479        +       75940       76242          303        1
  480        +       76249       77094          846        1
  481        +       77318       78394         1077        1
  482        -       78538       79656         1119        1
  483        +       79649       80269          621        1
  484        +       80342       80689          348        1
  485        +       80712       81389          678        1
  486        +       81765       82808         1044        1
  487        +       82867       84312         1446        1
  488        +       84309       85658         1350        1
  489        +       85669       86466          798        1
  490        +       86477       87202          726        1
  491        +       87202       87894          693        1
  492        +       88008       88808          801        1
  493        +       88828       89808          981        1
  494        +       89805       90587          783        1
  495        -       90685       91188          504        1
  496        -       91185       91784          600        1
  497        -       91804      >92376          573        1

FASTA definition line: NODE_6_length_87704_cov_12.588
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  498        +          <1         816          816        1
  499        +         865        2553         1689        1
  500        +        2591        4180         1590        1
  501        +        4182        4739          558        1
  502        +        4835        5320          486        1
  503        +        5400        6152          753        1
  504        +        6206        6769          564        1
  505        +        6769        8073         1305        1
  506        +        8158       10008         1851        1
  507        +       10019       11155         1137        1
  508        -       11211       11864          654        1
  509        -       11861       12406          546        1
  510        +       12621       13913         1293        1
  511        +       13924       14673          750        1
  512        +       14670       15875         1206        1
  513        +       15879       16439          561        1
  514        +       16436       17173          738        1
  515        -       17220       18275         1056        1
  516        -       18272       18517          246        1
  517        +       18570       18860          291        1
  518        +       19365       20066          702        1
  519        -       20048       21265         1218        1
  520        +       21453       21692          240        2
  521        -       21714       21935          222        1
  522        -       21925       22740          816        1
  523        -       22737       25619         2883        1
  524        -       25616       27145         1530        1
  525        -       27142       27615          474        1
  526        -       27716       28702          987        1
  527        +       28891       29880          990        1
  528        +       29880       30062          183        1
  529        +       30035       30835          801        1
  530        +       31138       33009         1872        1
  531        +       33089       33754          666        1
  532        +       33751       33999          249        1
  533        +       34001       34441          441        1
  534        -       34525       35031          507        1
  535        -       35028       35672          645        1
  536        -       35672       36553          882        1
  537        +       36677       37417          741        1
  538        -       37421       38074          654        1
  539        -       38071       38814          744        1
  540        -       38811       40691         1881        1
  541        -       40792       42318         1527        1
  542        -       42392       43270          879        1
  543        -       43297       43551          255        1
  544        -       43548       43961          414        1
  545        -       43984       44118          135        1
  546        +       44299       45027          729        1
  547        +       45028       46440         1413        1
  548        +       46537       47898         1362        1
  549        -       48412       49290          879        1
  550        +       49504       50004          501        1
  551        +       50285       51802         1518        1
  552        +       51879       52415          537        1
  553        +       52412       52942          531        1
  554        +       52939       53499          561        1
  555        +       53496       53837          342        1
  556        +       53883       54227          345        1
  557        +       54307       54837          531        1
  558        +       54990       55856          867        1
  559        +       55915       56751          837        1
  560        +       56800       57174          375        1
  561        +       57187       57408          222        1
  562        +       57605       58414          810        1
  563        +       58442       59947         1506        1
  564        -       59982       60344          363        1
  565        +       60543       60878          336        1
  566        +       60882       61667          786        1
  567        +       61720       61956          237        1
  568        +       62026       62568          543        1
  569        +       62574       63128          555        1
  570        -       63340       64107          768        1
  571        -       64348       65034          687        1
  572        -       65149       65997          849        1
  573        +       66110       66754          645        1
  574        +       66751       67743          993        1
  575        +       68213       68596          384        1
  576        -       68724       71537         2814        1
  577        -       71584       71802          219        1
  578        -       71862       72086          225        1
  579        -       72083       72673          591        1
  580        +       72732       73748         1017        1
  581        +       73745       74617          873        1
  582        +       74617       77394         2778        1
  583        +       77391       79454         2064        1
  584        -       79457       80254          798        1
  585        +       80294       81727         1434        1
  586        +       81699       82868         1170        1
  587        +       82881       84182         1302        1
  588        +       84234       85034          801        1
  589        +       85323       85805          483        1
  590        -       86058      >87704         1647        1

FASTA definition line: NODE_7_length_74557_cov_14.1322
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  591        +          <1        1032         1032        1
  592        +        1624        2865         1242        1
  593        +        2885        3514          630        1
  594        +        3593        3790          198        1
  595        +        3790        4002          213        1
  596        +        4086        4226          141        1
  597        +        4223        5560         1338        1
  598        +        5723        6028          306        1
  599        +        6007        7680         1674        1
  600        -        7677        7985          309        1
  601        +        7997        9259         1263        1
  602        +        9259        9813          555        1
  603        +        9815       10876         1062        1
  604        +       10878       11384          507        1
  605        +       11420       11926          507        1
  606        -       11939       12217          279        1
  607        -       12522       13433          912        1
  608        +       13474       14793         1320        1
  609        -       14870       15340          471        1
  610        -       15473       16117          645        1
  611        -       16114       17802         1689        1
  612        -       17799       19004         1206        1
  613        +       19119       19727          609        1
  614        +       19894       20526          633        1
  615        +       20723       21916         1194        1
  616        +       22041       22415          375        1
  617        +       22415       22885          471        1
  618        +       22882       23253          372        1
  619        -       23202       23846          645        1
  620        -       23866       25212         1347        1
  621        -       25220       25714          495        1
  622        +       25992       27323         1332        1
  623        +       27387       27926          540        1
  624        +       27999       29303         1305        1
  625        -       29344       29955          612        1
  626        -       30145       30777          633        1
  627        +       30915       32174         1260        1
  628        +       32249       33754         1506        1
  629        +       33754       34239          486        1
  630        +       34199       34555          357        1
  631        +       34736       35599          864        1
  632        +       35596       36447          852        1
  633        +       36477       37457          981        1
  634        -       37502       38800         1299        1
  635        +       38786       40963         2178        1
  636        -       41000       41941          942        1
  637        +       42134       42874          741        1
  638        +       42884       43729          846        1
  639        +       43866       45152         1287        1
  640        +       45314       45682          369        1
  641        +       45679       45969          291        1
  642        +       45969       48653         2685        1
  643        +       48754       49749          996        1
  644        -       50008       50439          432        1
  645        +       50765       51082          318        1
  646        +       51070       51276          207        1
  647        -       51489       51704          216        1
  648        +       51841       52095          255        1
  649        +       52119       52238          120        1
  650        +       52248       53921         1674        1
  651        -       53992       54183          192        1
  652        -       54300       55376         1077        1
  653        -       55630       55881          252        1
  654        +       56262       57299         1038        1
  655        +       57292       58284          993        1
  656        +       58268       60151         1884        1
  657        +       60156       61064          909        1
  658        +       61093       61212          120        1
  659        +       61248       61565          318        1
  660        +       61689       62828         1140        1
  661        +       62825       63856         1032        1
  662        +       63853       64725          873        1
  663        +       64872       65549          678        1
  664        -       65752       67062         1311        1
  665        -       67059       68162         1104        1
  666        +       68494       69978         1485        1
  667        +       69975       70412          438        1
  668        +       70409       71461         1053        1
  669        -       71654       73063         1410        1
  670        -       73145       73483          339        1
  671        +       73682       74335          654        1
  672        +       74332      >74556          225        1

FASTA definition line: NODE_8_length_73118_cov_32.6107
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  673        +          <2          85           84        2
  674        +         109         303          195        1
  675        +        1026        1526          501        1
  676        -        1596        3035         1440        1
  677        -        3007        4476         1470        1
  678        -        4919        6163         1245        1
  679        +        6705        7019          315        1
  680        +        7082        7207          126        1
  681        +        7559        7936          378        1
  682        -        8209        8733          525        1
  683        +        9346        9744          399        1
  684        +        9837       10007          171        1
  685        -       10144       10365          222        1
  686        +       10456       10716          261        1
  687        +       10719       12068         1350        1
  688        +       12338       12703          366        1
  689        -       12789       13058          270        1
  690        +       13686       14195          510        1
  691        +       14312       16390         2079        1
  692        +       16423       16779          357        1
  693        -       16910       17383          474        1
  694        -       17448       17594          147        1
  695        +       17594       18622         1029        1
  696        -       18638       19705         1068        1
  697        +       19722       20402          681        1
  698        +       20399       21493         1095        1
  699        +       21830       22153          324        1
  700        +       22161       22742          582        1
  701        +       22755       24206         1452        1
  702        -       24385       24546          162        1
  703        +       24615       24971          357        1
  704        -       25070       26158         1089        1
  705        -       26155       27048          894        1
  706        -       27605       28030          426        2
  707        -       28095       28196          102        1
  708        +       28318       28743          426        1
  709        +       28956       29789          834        1
  710        +       30178       30408          231        1
  711        +       30408       30815          408        1
  712        +       30881       31099          219        1
  713        +       31146       31295          150        1
  714        +       31292       33928         2637        1
  715        +       33981       34127          147        1
